epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.087,1.95734,2.83508,1.70367,0.28665,0.29897,0.20491,0.06839,2.20709,2.80399,2.43978,0.0101431,0.0099841,0.0099841
2,1076.75,2.09174,2.6106,1.85034,0.28407,0.29809,0.18614,0.06916,2.29357,2.78516,2.38421,0.00802,0.00802,0.00802
3,1590.2,1.97256,2.24176,1.78901,0.35143,0.36956,0.27428,0.10799,2.15792,2.66681,2.13615,0.00604,0.00604,0.00604
4,2106.96,1.78361,1.82175,1.60984,0.45789,0.47985,0.42751,0.18669,1.93885,2.06114,1.86547,0.00406,0.00406,0.00406
5,2613.41,1.64957,1.58066,1.50455,0.57052,0.52511,0.5177,0.23852,1.81486,1.87789,1.75606,0.00208,0.00208,0.00208
